t,value
1608109348,8192
1608109648,8200
1608109948,8192
1608110248,8192
1608110548,8192
1608110848,8192
1608111148,8192
1608111448,8192
1608111748,8192
1608112048,8192
1608112348,8192
1608112648,8192
1608112948,8192
1608113248,8192
1608113548,8192
1608113848,8192
1608114148,8192
1608114448,8192
1608114748,8192
1608115048,8192
1608115348,8192
1608115648,8192
1608115948,8192
1608116248,8192
1608116548,8192
1608116848,8192
1608117148,8192
1608117448,8192
1608117748,8192
1608118048,8192
1608118348,8192
1608118648,8192
1608118948,8192
1608119248,8192
1608119548,8192
1608119848,8192
1608120148,8192
1608120448,8192
1608120748,8192
1608121048,8192
1608121348,8192
1608121648,8192
1608121948,8192
1608122248,8192
1608122548,8192
1608122848,8192
1608123148,8192
1608123448,8192
1608123748,8192
1608124048,8192
1608124348,8192
1608124648,8192
1608124948,8192
1608125248,8192
1608125548,8192
1608125848,8192
1608126148,8192
1608126448,8192
1608126748,8192
1608127048,8192
1608127348,8192
1608127648,8192
1608127948,8192
1608128248,8192
1608128548,8192
1608128848,8192
1608129148,8192
1608129448,8192
1608129748,8192
1608130048,8192
1608130348,8192
1608130648,8192
1608130948,8192
1608131248,8192
1608131548,8192
1608131848,8192
1608132148,8192
1608132448,8192
1608132748,8192
1608133048,8192
1608133348,8192
1608133648,8192
1608133948,8192
1608134248,8192
1608134548,8192
1608134848,8192
1608135148,8192
1608135448,8192
1608135748,8192
1608136048,8192
1608136348,8192
1608136648,8192
1608136948,8192
1608137248,8192
1608137548,8192
1608137848,8192
1608138148,8192
1608138448,8192
1608138748,8192
1608139048,8192
1608139348,8192
1608139648,8192
1608139948,8192
1608140248,8192
1608140548,8192
1608140848,8192
1608141148,8192
1608141448,8192
1608141748,8192
1608142048,8192
1608142348,8192
1608142648,8192
1608142948,8192
1608143248,8192
1608143548,8192
1608143848,8192
1608144148,8192
1608144448,8192
1608144748,8192
1608145048,8192
1608145348,8192
1608145648,8192
1608145948,8192
1608146248,8192
1608146548,8192
1608146848,8192
1608147148,8192
1608147448,8192
1608147748,8192
1608148048,8192
1608148348,8192
1608148648,8192
1608148948,8192
1608149248,8192
1608149548,8192
1608149848,8192
1608150148,8192
1608150448,8192
1608150748,8192
1608151048,8192
1608151348,8192
1608151648,8192
1608151948,8192
1608152248,8192
1608152417,8192
1608152417,8192
