t,value
1616097707,2013265920
1616098007,2013265920
1616098307,2013265920
1616098607,2013265920
1616098907,2013265920
1616099207,2013265920
1616099507,2013265920
1616099807,2013265920
1616100107,2013265920
1616100407,2013265920
1616100707,2013265920
1616101007,2013265920
1616101307,2013265920
1616101607,2013265920
1616101907,2013265920
1616102207,2013265920
1616102507,2013265920
1616102807,2013265920
1616103107,2013265920
1616103407,2013265920
1616103707,2013265920
1616104007,2013265920
1616104307,2013265920
1616104607,2013265920
1616104907,2013265920
1616105207,2013265920
1616105507,2013265920
1616105807,2013265920
1616106107,2013265920
1616106407,2013265920
1616106707,2013265920
1616107007,2013265920
1616107307,2013265920
1616107607,2013265920
1616107907,2013265920
1616108207,2013265920
1616108507,2013265920
1616108807,2013265920
1616109107,2013265920
1616109407,2013265920
1616109707,2013265920
1616110007,2013265920
1616110307,2013265920
1616110607,2013265920
1616110907,2013265920
1616111207,2013265920
1616111507,2013265920
1616111807,2013265920
1616112107,2013265920
1616112407,2013265920
1616112707,2013265920
1616113007,2013265920
1616113307,2013265920
1616113607,2013265920
1616113907,2013265920
1616114207,2013265920
1616114507,2013265920
1616114807,2013265920
1616115107,2013265920
1616115407,2013265920
1616115707,2013265920
1616116007,2013265920
1616116307,2013265920
1616116607,2013265920
1616116907,2013265920
1616117207,2013265920
1616117507,2013265920
1616117807,2013265920
1616118107,2013265920
1616118407,2013265920
1616118707,2013265920
1616119007,2013265920
1616119307,2013265920
1616119607,2013265920
1616119907,2013265920
1616120207,2013265920
1616120507,2013265920
1616120807,2013265920
1616121107,2013265920
1616121407,2013265920
1616121707,2013265920
1616122007,2013265920
1616122307,2013265920
1616122607,2013265920
1616122907,2013265920
1616123207,2013265920
1616123507,2013265920
1616123807,2013265920
1616124107,2013265920
1616124407,2013265920
1616124707,2013265920
1616125007,2013265920
1616125307,2013265920
1616125607,2013265920
1616125664,2013265920
1616125664,2013265920
