t,value
1609644083,0.32495300751879697
1609644383,0.32485545616272826
1609644683,0.3249435670649839
1609644983,0.32489951161385605
1609645283,0.3249173435821697
1609645583,0.3249173435821697
1609645883,0.3249194414607948
1609646183,0.32481664540816324
1609646483,0.32474321965628355
1609646783,0.32476105162459723
1609647083,0.32476105162459723
1609647383,0.3247516111707841
1609647683,0.324742170716971
1609647983,0.32471175147690656
1609648283,0.32471175147690656
1609648583,0.32471175147690656
1609648883,0.32471175147690656
1609649183,0.32471175147690656
1609649483,0.32471175147690656
1609649783,0.32471175147690656
1609650083,0.32471175147690656
1609650383,0.32471175147690656
1609650683,0.32471175147690656
1609650983,0.3246739896616541
1609651283,0.3246739896616541
1609651583,0.3246739896616541
1609651883,0.3246739896616541
1609652183,0.32436455256444685
1609652483,0.32436455256444685
1609652783,0.32436455256444685
1609653083,0.32436455256444685
1609653383,0.32436455256444685
1609653683,0.32436455256444685
1609653983,0.32436455256444685
1609654283,0.32436455256444685
1609654583,0.32436455256444685
1609654883,0.32436455256444685
1609655183,0.32436455256444685
1609655483,0.32436455256444685
1609655783,0.32436455256444685
1609656083,0.32436455256444685
1609656383,0.32432993756713213
1609656683,0.32432993756713213
1609656983,0.32432993756713213
1609657283,0.32432993756713213
1609657583,0.32432993756713213
1609657883,0.32432993756713213
1609658183,0.32432993756713213
1609658483,0.32432993756713213
1609658783,0.32432993756713213
1609659083,0.32432993756713213
1609659383,0.32432993756713213
1609659683,0.32431944817400643
1609659983,0.32431944817400643
1609660283,0.32430056726638024
1609660583,0.32430056726638024
1609660883,0.32430056726638024
1609661183,0.32430056726638024
1609661483,0.32430056726638024
1609661783,0.32430056726638024
1609662083,0.32430056726638024
1609662383,0.3242323862110634
1609662683,0.3241935754564984
1609662983,0.3241935754564984
1609663283,0.3241935754564984
1609663583,0.3241935754564984
1609663883,0.3241935754564984
1609664183,0.32413693273361976
1609664483,0.32413693273361976
1609664783,0.32413693273361976
1609665083,0.32413693273361976
1609665383,0.32413693273361976
1609665683,0.32413693273361976
1609665983,0.32413693273361976
1609666283,0.32413693273361976
1609666583,0.32413693273361976
1609666883,0.32413693273361976
1609667183,0.32413693273361976
1609667483,0.32413693273361976
1609667783,0.32413693273361976
1609668083,0.32413693273361976
1609668383,0.3240330877416756
1609668683,0.3240330877416756
1609668983,0.3240330877416756
1609669283,0.324015255773362
1609669583,0.32400581531954886
1609669883,0.32400581531954886
1609670183,0.32400581531954886
1609670483,0.3239732982008593
1609670783,0.3239732982008593
1609671083,0.3239732982008593
1609671383,0.3239732982008593
1609671683,0.3239732982008593
1609671983,0.3239732982008593
1609672283,0.3239732982008593
1609672583,0.3239732982008593
1609672883,0.3239732982008593
1609673183,0.3239732982008593
1609673483,0.3239732982008593
1609673783,0.3239732982008593
1609674083,0.3239732982008593
1609674383,0.3239732982008593
1609674683,0.3239732982008593
1609674983,0.3239732982008593
1609675283,0.3239617598684211
1609675583,0.3239617598684211
1609675883,0.3239617598684211
1609676183,0.32395231941460795
1609676483,0.32395231941460795
1609676783,0.32395231941460795
1609677083,0.32395231941460795
1609677383,0.32395231941460795
1609677683,0.32395231941460795
1609677983,0.32395231941460795
1609678283,0.32395231941460795
1609678583,0.32395231941460795
1609678883,0.32395231941460795
1609679183,0.32395231941460795
1609679483,0.32395231941460795
1609679783,0.32395231941460795
1609680083,0.32395231941460795
1609680383,0.32395231941460795
1609680683,0.32395231941460795
1609680983,0.32395231941460795
1609681283,0.32395231941460795
1609681583,0.32395231941460795
1609681883,0.32395231941460795
1609682183,0.32395231941460795
1609682483,0.32395231941460795
1609682783,0.32395231941460795
1609683083,0.32395231941460795
1609683383,0.32395231941460795
1609683683,0.32395231941460795
1609683983,0.32395231941460795
1609684283,0.32395231941460795
1609684583,0.32395231941460795
1609684883,0.32395231941460795
1609685183,0.32395231941460795
1609685483,0.32395231941460795
1609685783,0.32395231941460795
1609686083,0.32395231941460795
1609686297,0.32392924274973145
1609686297,0.32392924274973145
